,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
156,airai,100,TL,1578272733,75,-8.93,125.41,75.02,4.07
157,aksu,90,KZ,1578272733,100,52.04,76.93,12.2,2.24
158,hobart,20,AU,1578271873,52,-42.88,147.33,69.01,9.17
159,gairo,46,TZ,1578272733,97,-6.14,36.87,63.18,0.78
160,almaznyy,75,RU,1578272733,93,48.03,40.04,35.6,2.24
161,sekoma,99,BW,1578272733,30,-24.51,23.93,82.74,7.27
162,lata,100,IN,1578272164,79,30.78,78.62,14.16,6.73
163,coquimbo,40,CL,1578272734,77,-29.95,-71.34,62.6,9.17
164,mutis,34,CO,1578272585,81,6.23,-77.4,81.41,7.07
165,belle fourche,90,US,1578272734,50,44.67,-103.85,30.99,6.93
166,isangel,20,VU,1578272734,62,-19.55,169.27,87.8,14.99
167,castro,20,CL,1578272734,71,-42.48,-73.76,53.6,5.82
168,bethel,1,US,1578272734,68,60.79,-161.76,-14.8,6.93
169,acapulco,75,MX,1578272700,78,16.86,-99.88,82.4,2.24
170,nyurba,93,RU,1578272734,100,63.29,118.35,-8.95,1.79
171,camargo,29,MX,1578272735,23,27.69,-105.17,62.33,8.55
172,slave lake,90,CA,1578272507,85,55.28,-114.77,15.8,5.82
173,vardo,1,US,1578272735,68,39.62,-77.74,34.0,3.24
174,veraval,90,FR,1578272735,81,49.65,0.71,44.6,5.82
175,marrakesh,34,MA,1578272735,87,31.63,-7.99,46.4,5.82
176,mount darwin,100,ZW,1578272735,95,-16.77,31.58,66.24,1.63
177,saint-philippe,40,CA,1578272735,67,45.36,-73.48,21.0,5.82
178,yellowknife,20,CA,1578272735,75,62.45,-114.38,-18.0,8.05
179,sitka,16,US,1578272736,47,37.17,-99.65,39.0,5.82
180,karratha,72,AU,1578272736,68,-20.74,116.85,84.94,10.2
181,tecoanapa,75,MX,1578272736,78,16.99,-99.26,82.4,2.24
182,roma,0,IT,1578271981,64,41.89,12.48,44.6,1.12
183,padang,41,ID,1578272736,80,-0.92,100.36,68.52,6.24
184,vung tau,37,VN,1578272555,74,10.35,107.08,72.59,6.93
185,marsaxlokk,0,MT,1578272736,37,35.84,14.54,52.0,17.22
186,rio pardo de minas,96,BR,1578272736,97,-15.62,-42.55,65.75,3.91
187,avarua,100,CK,1578272737,83,-21.21,-159.78,82.4,4.7
188,ancud,20,CL,1578272737,71,-41.87,-73.83,53.6,5.82
189,dalhousie,90,CA,1578272737,62,48.06,-66.37,21.2,13.87
190,saint-paul,0,FR,1578272737,64,45.22,1.9,37.4,11.41
191,filadelfia,0,PY,1578272737,25,-22.35,-60.04,85.32,8.79
192,baykit,99,RU,1578272737,96,61.68,96.39,9.81,4.25
193,whakatane,0,NZ,1578272530,40,-37.96,176.99,73.0,13.0
194,japura,31,ID,1578272737,93,-0.42,102.29,73.17,1.16
195,le moule,90,GP,1578272738,88,16.33,-61.35,75.2,5.82
196,chokurdakh,48,RU,1578272738,100,70.62,147.9,-23.24,1.52
197,qaanaaq,18,GL,1578272166,49,77.48,-69.36,-25.4,2.93
198,cap malheureux,75,MU,1578272738,94,-19.98,57.61,75.2,16.11
199,jacksonville beach,1,US,1578272560,66,30.29,-81.39,53.6,4.7
200,lorengau,72,PG,1578272738,71,-2.02,147.27,84.94,9.35
201,adrar,0,DZ,1578272738,36,27.87,-0.29,44.6,9.17
202,pozo colorado,0,PY,1578272738,33,-23.49,-58.8,83.07,4.81
203,baiyin,90,CN,1578272738,57,36.55,104.13,27.0,2.24
204,bowen,75,AU,1578272739,74,-20.01,148.25,87.01,10.29
205,puerto colombia,100,CO,1578272739,74,10.99,-74.96,80.6,17.22
206,clyde river,1,CA,1578272162,52,70.47,-68.59,-40.0,17.22
207,lapy,39,PL,1578272617,100,52.99,22.88,28.99,6.11
208,opuwo,100,NA,1578272739,73,-18.06,13.84,68.13,4.25
209,lanxi,58,CN,1578272739,91,29.21,119.46,55.81,2.33
210,hasaki,40,JP,1578272177,52,35.73,140.83,43.0,11.41
211,sukhobezvodnoye,95,RU,1578272739,87,57.05,44.89,28.65,6.87
212,mahebourg,75,MU,1578272155,94,-20.41,57.7,75.2,16.11
213,evensk,22,RU,1578272740,46,61.92,159.24,-1.86,4.54
214,tual,52,ID,1578272172,76,-5.67,132.75,83.98,12.8
215,rio grande,0,BR,1578272740,82,-32.03,-52.1,73.99,5.01
216,ola,69,RU,1578272740,63,59.58,151.3,11.14,4.99
217,sambava,96,MG,1578272740,95,-14.27,50.17,69.87,2.01
